# Mix output version 10
# Intel(R) SDE version: 8.50.0 external
# Starting tid 1,  OS-TID 2392
# FINI: end of program

# EMIT_IMAGE_ADDRESSES 
# 
#    IMAGE NAME                                                                              LOW ADDRESS   HIGH ADDRESS  
# 
C:\Windows\system32\kernel32.dll                                                             000077330000  00007744efff
C:\Windows\system32\USER32.dll                                                               000077450000  000077549fff
C:\Windows\SYSTEM32\ntdll.dll                                                                000077550000  0000776eefff
C:\Windows\system32\rundll32.exe                                                             0000ffe00000  0000ffe0ffff
C:\Windows\system32\dwmapi.dll                                                               07fefb660000  07fefb677fff
C:\Windows\system32\uxtheme.dll                                                              07fefba90000  07fefbae5fff
C:\Windows\system32\PROPSYS.dll                                                              07fefbaf0000  07fefbc1bfff
C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757\comctl32.dll   07fefbe10000  07fefc003fff
C:\Windows\system32\CRYPTBASE.dll                                                            07fefd080000  07fefd08efff
C:\Windows\system32\KERNELBASE.dll                                                           07fefd570000  07fefd5d9fff
C:\Windows\system32\SHLWAPI.dll                                                              07fefd5e0000  07fefd650fff
C:\Windows\system32\RPCRT4.dll                                                               07fefd660000  07fefd78bfff
C:\Windows\system32\MSCTF.dll                                                                07fefd790000  07fefd898fff
C:\Windows\system32\USP10.dll                                                                07fefd8a0000  07fefd96afff
C:\Windows\system32\GDI32.dll                                                                07fefdb50000  07fefdbb6fff
C:\Windows\system32\LPK.dll                                                                  07fefe020000  07fefe02dfff
C:\Windows\system32\msvcrt.dll                                                               07fefe030000  07fefe0cefff
C:\Windows\system32\OLEAUT32.dll                                                             07fefe0d0000  07fefe1a9fff
C:\Windows\system32\ADVAPI32.dll                                                             07fefe1b0000  07fefe28afff
C:\Windows\system32\shell32.dll                                                              07fefe2a0000  07feff029fff
C:\Windows\system32\imagehlp.dll                                                             07feff0d0000  07feff0e8fff
C:\Windows\system32\ole32.dll                                                                07feff0f0000  07feff2ebfff
C:\Windows\system32\IMM32.DLL                                                                07feff2f0000  07feff31dfff
C:\Windows\SYSTEM32\sechost.dll                                                              07feff320000  07feff33efff
# END_IMAGE_ADDRESSES

# ==============================================
# STATS FOR TID 1  OS-TID  2392 EMIT# 1
# ==============================================
# EMIT_TOP_BLOCK_STATS FOR TID 1  OS-TID 2392 EMIT # 1 EVENT=ICOUNT
BLOCK:     0   PC: 000000007757a1c0   ICOUNT:      3965   EXECUTIONS:       305   #BYTES: 33   %: 0.978   cumltv%: 0.978  FN: RtlFreeHeap  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2a1c0
XDIS 000000007757a1c0: BASE 4053                     push rbx
XDIS 000000007757a1c2: BASE 55                       push rbp
XDIS 000000007757a1c3: BASE 56                       push rsi
XDIS 000000007757a1c4: BASE 57                       push rdi
XDIS 000000007757a1c5: BASE 4154                     push r12
XDIS 000000007757a1c7: BASE 4883EC50                 sub rsp, 0x50
XDIS 000000007757a1cb: BASE 33F6                     xor esi, esi
XDIS 000000007757a1cd: BASE 498BE8                   mov rbp, r8
XDIS 000000007757a1d0: BASE 8BFA                     mov edi, edx
XDIS 000000007757a1d2: BASE 4C8BE1                   mov r12, rcx
XDIS 000000007757a1d5: BASE 488BDE                   mov rbx, rsi
XDIS 000000007757a1d8: BASE 4D85C0                   test r8, r8
XDIS 000000007757a1db: BASE 0F84BE050000             jz 0x7757a79f

BLOCK:     1   PC: 000000007757a339   ICOUNT:      3278   EXECUTIONS:       149   #BYTES: 104   %: 0.808   cumltv%:  1.79  FN: RtlFreeHeap  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2a339
XDIS 000000007757a339: BASE 498B4008                 mov rax, qword ptr [r8+0x8]
XDIS 000000007757a33d: BASE 498BD8                   mov rbx, r8
XDIS 000000007757a340: BASE 48B9FFFFFFFFFF000000     mov rcx, 0xffffffffff
XDIS 000000007757a34a: BASE 4933DC                   xor rbx, r12
XDIS 000000007757a34d: BASE 4823C1                   and rax, rcx
XDIS 000000007757a350: BASE 48C1EB04                 shr rbx, 0x4
XDIS 000000007757a354: BASE 4833D8                   xor rbx, rax
XDIS 000000007757a357: BASE 48331D3A321000           xor rbx, qword ptr [rip+0x10323a]
XDIS 000000007757a35e: BASE 48C1E304                 shl rbx, 0x4
XDIS 000000007757a362: 3DNOW 0F0D0B                   prefetchw zmmword ptr [rbx]
XDIS 000000007757a365: BASE 488B7B08                 mov rdi, qword ptr [rbx+0x8]
XDIS 000000007757a369: BASE 49BD0100000001000000     mov r13, 0x100000001
XDIS 000000007757a373: BASE 49BEFF7F0000FFFFFFFF     mov r14, 0xffffffff00007fff
XDIS 000000007757a37d: BASE 41C6400F80               mov byte ptr [r8+0xf], 0x80
XDIS 000000007757a382: BASE 4188700E                 mov byte ptr [r8+0xe], sil
XDIS 000000007757a386: BASE 41BF0000FFFF             mov r15d, 0xffff0000
XDIS 000000007757a38c: BASE 0F1F4000                 nop dword ptr [rax], eax
XDIS 000000007757a390: BASE 4C8B5B10                 mov r11, qword ptr [rbx+0x10]
XDIS 000000007757a394: BASE 4B8D142B                 lea rdx, ptr [r11+r13*1]
XDIS 000000007757a398: BASE 4923D6                   and rdx, r14
